name,category,icon,fame
Archaeological Ensemble of Mérida,archaeology,icon-archaeology,1
Archaeological Sites of Mycenae and Tiryns,archaeology,icon-archaeology,1
Bolgar Historical and Archaeological Complex,archaeology,icon-archaeology,1
Delos,archaeology,icon-archaeology,3
Early Christian Necropolis of Pécs,archaeology,icon-archaeology,1
Stonehenge,archaeology,icon-archaeology,3
Syracuse and the Rocky Necropolis of Pantalica,archaeology,icon-archaeology,1
Centennial Hall,architecture,icon-architecture,2
Chinese Pavilion at Drottningholm,architecture,icon-architecture,1
Chinese Pavilion at Drottningholm,architecture,icon-architecture,1
Drottningholm Palace,architecture,icon-architecture,2
Drottningholm Palace,architecture,icon-architecture,2
Drottningholm Palace Theatre,architecture,icon-architecture,1
Malbork Castle,architecture,icon-architecture,2
Menin Gate,architecture,icon-architecture,1
Palace of Mafra,architecture,icon-architecture,2
Tower of Iglesia de San Salvador,architecture,icon-architecture,1
Town Hall and Roland on the Marketplace of Bremen,architecture,icon-architecture,1
Cave of Altacosa,art,icon-art,3
Cave of Altacosa,art,icon-art,3
Prehistoric Rock Art Sites in the Côa Valley,art,icon-art,2
Alto Douro Wine Region,cultural_landscape,icon-cultural_landscape,2
Cultural Landscape of Kenozero Lake,cultural_landscape,icon-cultural_landscape,1
Cultural Landscape of Sintra,cultural_landscape,icon-cultural_landscape,1
Landscape of the Pico Island Vineyard Culture,cultural_landscape,icon-cultural_landscape,2
Lednice-Valtice Cultural Landscape,cultural_landscape,icon-cultural_landscape,2
Prehistoric Sites and Decorated Caves of the Vézère Valley,cultural_landscape,icon-cultural_landscape,2
City of Vicenza and the Palladian Villas of the Veneto,historic_city,icon-historic_city,2
City of Vicenza and the Palladian Villas of the Veneto,historic_city,icon-historic_city,2
Historic Centre of Brugge,historic_city,icon-historic_city,1
Historic Centre of Guimarães and Couros Zone,historic_city,icon-historic_city,1
Historic Centre of Porto,historic_city,icon-historic_city,1
Historic Centre of Porto,historic_city,icon-historic_city,1
Historic Centre of Saint Petersburg and Related Groups of Monuments,historic_city,icon-historic_city,2
Historic Centre of Saint Petersburg and Related Groups of Monuments,historic_city,icon-historic_city,2
Historic City of Toledo,historic_city,icon-historic_city,1
Medieval City of Rhodes,historic_city,icon-historic_city,1
Old City of Bern,historic_city,icon-historic_city,2
Old town of Corfu,historic_city,icon-historic_city,1
old town of Cáceres,historic_city,icon-historic_city,1
Old Town of Galle and its Fortifications,historic_city,icon-historic_city,1
Warsaw Old Town,historic_city,icon-historic_city,2
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Struve Geodetic Arc,industrial,icon-industrial,3
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,industrial,icon-industrial,1
Zollverein Coal Mine Industrial Complex,industrial,icon-industrial,2
Alminhas da Ponte,other,icon-windmill,1
Antequera Dolmens Site,other,icon-windmill,2
Arras Flying Services Memorial,other,icon-windmill,1
Arras Memorial,other,icon-windmill,1
Artists' Colony in Darmstadt,other,icon-windmill,1
Astronomical Observatory of the University of Kazan,other,icon-windmill,1
banks of the Seine,other,icon-windmill,1
Beaumont-Hamel Newfoundland Memorial,other,icon-windmill,1
Beaumont-Hamel Newfoundland Memorial,other,icon-windmill,1
Bergpark Wilhelmshöhe,other,icon-windmill,2
Berlin Modernism Housing Estates,other,icon-windmill,2
Bom Jesus do Monte,other,icon-windmill,2
Cadeia da Relação,other,icon-windmill,1
Cambrai Memorial to the Missing,other,icon-windmill,1
"Campus de Alcalá de Henares, University of Alcalá",other,icon-windmill,1
Canada do Inferno / Rego da vide,other,icon-windmill,1
Canadian National Vimy Memorial,other,icon-windmill,1
Castra of Gunzenhausen,other,icon-windmill,1
Central Sikhote-Alin,other,icon-windmill,1
Centro Histórico de Angra do Heroísmo,other,icon-windmill,1
Centro Histórico de Évora,other,icon-windmill,1
Centro Histórico de Évora,other,icon-windmill,1
"Champagne hillsides, houses and cellars",other,icon-windmill,1
Chauvet Cave,other,icon-windmill,2
Churches of the Pskov School of Architecture,other,icon-windmill,2
Cold Winter Deserts of Turan,other,icon-windmill,1
Couros Zone,other,icon-windmill,1
Curonian Spit,other,icon-windmill,3
Curonian Spit,other,icon-windmill,3
Decorated Farmhouses of Hälsingland,other,icon-windmill,2
Delville Wood South African National Memorial,other,icon-windmill,1
Dessau-Wörlitz Garden Realm,other,icon-windmill,2
Evaporitic Karst and Caves of Northern Apennines,other,icon-windmill,1
Faia,other,icon-windmill,1
Faia - Vale Afonsinho,other,icon-windmill,1
Fonte Frieira,other,icon-windmill,1
Garrison Border Town of Elvas and its Fortifications,other,icon-windmill,1
Golden Mountains of Altai,other,icon-windmill,2
Grimeton VLF transmitter,other,icon-windmill,2
Historic Monuments of Novgorod and Surroundings,other,icon-windmill,2
historical centre of Yaroslavl,other,icon-windmill,1
historical centre of Yaroslavl,other,icon-windmill,1
Hypogeum of Ħal Saflieni,other,icon-windmill,2
Kapova Cave,other,icon-windmill,2
Kapova Cave,other,icon-windmill,2
Kizhi Pogost,other,icon-windmill,2
Kremlin and Red Square,other,icon-windmill,1
Lake Baikal,other,icon-windmill,3
Landscapes of Dauria,other,icon-windmill,1
Laurisilva of Madeira,other,icon-windmill,1
Lena Pillars,other,icon-windmill,2
"Lichfield Crater, Thelus",other,icon-windmill,1
Limes Dacicus,other,icon-windmill,1
Limeskastell Pohl,other,icon-windmill,1
Loos Memorial,other,icon-windmill,1
Los Trepadores rock shelter,other,icon-windmill,1
Major Town Houses of the Architect Victor Horta,other,icon-windmill,2
Mantua and Sabbioneta,other,icon-windmill,1
Marceau-Denkmal,other,icon-windmill,1
Meijapão,other,icon-windmill,1
Mont-Saint-Michel and its Bay,other,icon-windmill,1
Mount Athos,other,icon-windmill,1
Neolithic flint mines of Spiennes,other,icon-windmill,2
Neuve-Chapelle Indian Memorial,other,icon-windmill,1
Neuve-Chapelle Indian Memorial,other,icon-windmill,1
Nieuport Memorial,other,icon-windmill,1
Nieuport Memorial,other,icon-windmill,1
Noyelles-sur-Mer Chinese Memorial,other,icon-windmill,1
Núcleo Arqueológico de Habitat Paleolítico do Salto do Boi/Cardina,other,icon-windmill,1
Núcleo de arte rupestre da Canada da Moreira,other,icon-windmill,1
Núcleo de arte rupestre da Canada do Amendoal,other,icon-windmill,1
Núcleo de arte rupestre da Foz do Côa,other,icon-windmill,1
Núcleo de arte rupestre da Vermelhosa,other,icon-windmill,1
Núcleo de arte rupestre de Vale de Cabrões,other,icon-windmill,1
Núcleo de arte rupestre de Vale do Forno,other,icon-windmill,1
Núcleo de arte rupestre do Alto da Bulha,other,icon-windmill,1
Núcleo de arte rupestre do Vale de José Esteves,other,icon-windmill,1
Our Lady of Promise,other,icon-windmill,2
Paphos,other,icon-windmill,1
Penascosa,other,icon-windmill,1
Petroglyphs of Lake Onega and the White Sea,other,icon-windmill,1
Ploegsteert Memorial to the Missing,other,icon-windmill,1
porticoes of Bologna,other,icon-windmill,2
Pozieres Memorial,other,icon-windmill,1
Putorana Plateau,other,icon-windmill,2
Q131764534,other,icon-windmill,1
Q18405795,other,icon-windmill,1
Qazan Kremlin,other,icon-windmill,2
Qazan Kremlin,other,icon-windmill,2
Quinta da Barca,other,icon-windmill,1
Quinta da Ervamoira,other,icon-windmill,1
Quinta do Fariseu,other,icon-windmill,1
Ribeira de Piscos / Quinta dos Poios,other,icon-windmill,1
Ribeirinha,other,icon-windmill,1
Royal Building of Mafra,other,icon-windmill,1
Royal Domain of Drottningholm,other,icon-windmill,1
Royal Domain of Drottningholm,other,icon-windmill,1
Rua da Sofia (Coimbra),other,icon-windmill,1
Sammallahdenmäki,other,icon-windmill,2
Solovetsky Islands,other,icon-windmill,2
Solovetsky Islands,other,icon-windmill,2
Thiepval Memorial,other,icon-windmill,1
Torre de San Martín,other,icon-windmill,1
Trinity Lavra of St. Sergius,other,icon-windmill,2
